asset,symbol,timeframe,check,severity,message,metric,examples
BTC,BTCUSDT,4h,schema,INFO,"canonical schema OK; optional columns present: ['quote_volume', 'trades', 'taker_buy_volume']",,[]
BTC,BTCUSDT,4h,timestamp,INFO,no duplicated timestamps,,[]
BTC,BTCUSDT,4h,timestamp,INFO,timestamps strictly increasing,,[]
BTC,BTCUSDT,4h,timestamp,INFO,"all bars aligned to the 4h grid anchored at 00:00 (utc mode, tz=UTC). Distinct UTC hours: [0, 4, 8, 12, 16, 20]",,[]
BTC,BTCUSDT,4h,completeness,INFO,bar completeness 99.89%,,[]
BTC,BTCUSDT,4h,completeness,INFO,"no gap larger than 50 bars (session-aware threshold, 6.0 bars/session)",,[]
BTC,BTCUSDT,4h,ohlc,INFO,OHLC envelope consistent on every bar,,[]
BTC,BTCUSDT,4h,ohlc,WARN,1 zero-range bars (high==low==open==close): 0.01% of data,5.0281576830249393e-05,[]
BTC,BTCUSDT,4h,continuity,INFO,no bar crosses an UNEXPECTED data gap: her getiri ya bitisik ya da seans takviminin normal bir boslugu (hafta sonu / gece arasi),,[]
BTC,BTCUSDT,4h,outlier,WARN,"2 bar with |log return| > 20% on a CONTIGUOUS pair (bad print, roll gap or genuine extreme move). AYRICA incelenmeli, ASLA SILINMEMELI.",2.0,"['2017-09-15T12:00:00+00:00 r=+0.272', '2020-03-12T20:00:00+00:00 r=-0.229']"
BTC,BTCUSDT,4h,outlier,INFO,286 MAD(8) return outliers kept but flagged for review,286.0,[]
BTC,BTCUSDT,4h,volume,INFO,zero-volume bars: 0.01%,,[]
BTC,BTCUSDT,4h,volume,INFO,volume vs bar-range correlation = 0.293,,[]
BTC,BTCUSDT,4h,optional,INFO,"optional columns fully populated: ['quote_volume', 'trades', 'taker_buy_volume']",,[]
BTC,BTCUSDT,4h,optional,INFO,"optional columns present but entirely NaN (dropped from the feature set): ['funding_rate', 'open_interest', 'spread', 'dxy', 'usdtry', 'benchmark']",,[]
BTC,BTCUSDT,4h,resample,INFO,no source frame supplied: resampling audit skipped,,[]
BTC,BTCUSDT,4h,freshness,INFO,last complete bar 5.9h old,,[]
BTC,BTCUSDT,4h,history,INFO,19888 bars / 9.08 years of history,,[]
BTC,BTCUSDT,4h,session,INFO,grid anchored 00:00 in mode 'utc' (UTC),,[]
BTC,BTCUSDT,4h,session,INFO,"distinct UTC hours used: [0, 4, 8, 12, 16, 20]",,[]
BTC,BTCUSDT,4h,mandated_caveat,WARN,BTCUSDT SPOT serisi sinyal verisidir. Funding yalnizca maliyet/baglam katmanidir; PERP SINYALI URETILMEZ.,,[]
BTC,BTCUSDT,4h,adjustment,INFO,"adjust pipeline calisti (bu varlikta roll TANIM GEREGI imkansiz: 0 roll). 1 bar non-tradable isaretlendi, 2 getiri gecersiz sayildi.",,[]
GOLD,XAUUSD_PROXY_GC,4h,schema,INFO,"canonical schema OK; optional columns present: ['quote_volume', 'trades', 'taker_buy_volume']",,[]
GOLD,XAUUSD_PROXY_GC,4h,timestamp,INFO,no duplicated timestamps,,[]
GOLD,XAUUSD_PROXY_GC,4h,timestamp,INFO,timestamps strictly increasing,,[]
GOLD,XAUUSD_PROXY_GC,4h,timestamp,INFO,"all bars aligned to the 4h grid anchored at 18:00 (local mode, tz=America/New_York). Distinct UTC hours: [2, 3, 6, 7, 10, 11, 14, 15, 18, 19, 22, 23]",,[]
GOLD,XAUUSD_PROXY_GC,4h,completeness,WARN,4.0% of expected 4h bars are missing,0.039936102236421724,[]
GOLD,XAUUSD_PROXY_GC,4h,completeness,INFO,"no gap larger than 50 bars (session-aware threshold, 6.0 bars/session)",,[]
GOLD,XAUUSD_PROXY_GC,4h,ohlc,INFO,OHLC envelope consistent on every bar,,[]
GOLD,XAUUSD_PROXY_GC,4h,continuity,INFO,no bar crosses an UNEXPECTED data gap: her getiri ya bitisik ya da seans takviminin normal bir boslugu (hafta sonu / gece arasi),,[]
GOLD,XAUUSD_PROXY_GC,4h,outlier,INFO,no contiguous bar with |log return| > 20%,,[]
GOLD,XAUUSD_PROXY_GC,4h,outlier,INFO,16 MAD(8) return outliers kept but flagged for review,16.0,[]
GOLD,XAUUSD_PROXY_GC,4h,volume,INFO,zero-volume bars: 0.03%,,[]
GOLD,XAUUSD_PROXY_GC,4h,volume,INFO,volume vs bar-range correlation = 0.489,,[]
